GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
D001,Total:
D002,Not Hispanic or Latino:
D003,Not Hispanic or Latino: - White alone
D004,Not Hispanic or Latino: - Black or African American alone
D005,Not Hispanic or Latino: - American Indian and Alaska Native alone
D006,Not Hispanic or Latino: - Asian alone
D007,Not Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone
D008,Not Hispanic or Latino: - Some Other Race alone
D009,Not Hispanic or Latino: - Two or More Races
D010,Hispanic or Latino:
D011,Hispanic or Latino: - White alone
D012,Hispanic or Latino: - Black or African American alone
D013,Hispanic or Latino: - American Indian and Alaska Native alone
D014,Hispanic or Latino: - Asian alone
D015,Hispanic or Latino: - Native Hawaiian and Other Pacific Islander alone
D016,Hispanic or Latino: - Some Other Race alone
D017,Hispanic or Latino: - Two or More Races
